movie_id,title,director,description,release_date,end_date,duration,rating_id,language_id
1,"Hello, Love, Again",Cathy Garcia-Sampana,"Joy and Ethan reunite in Canada five years after their breakup, confronting buried emotions as they rediscover what love, sacrifice, and second chances truly mean. Their reunion forces them to question whether time healed their wounds or simply made them stronger.",01/11/2025,15/11/2025,115,R03,L02
2,Rewind,Mae Cruz-Alviar,"After a tragic accident, a grieving husband is given the chance to travel back in time and relive the moments he took for granted. As he attempts to rewrite fate and save his wife, he learns powerful lessons about love, regret, and the cost of changing destiny.",15/11/2025,29/11/2025,112,R03,L01
3,Un/Happy for You,Petersen Vargas,"Two former lovers meet again after years of silence, discovering that the feelings they once buried never truly faded. As they navigate old wounds, unspoken truths, and the lives they now lead, they must decide if reconnection brings healing or heartbreak.",15/11/2025,29/11/2025,110,R05,L02
4,Green Bones,Zig Dulay,"A devoted prison guard develops an unlikely connection with a long-term inmate, forcing both men to confront the harsh realities of justice, morality, and redemption. Their intertwined lives reveal hidden truths that challenge the very system they depend on.",15/11/2025,29/11/2025,130,R04,L02
5,GomBurZa,Pepe Diokno,"A historical epic retelling the sacrifice of Fathers Gomez, Burgos, and Zamora, whose execution under Spanish rule ignited a wave of nationalism. The film explores their courage, the injustices they faced, and their profound influence on the Philippine revolution.",15/11/2025,29/11/2025,112,R04,L02
6,Your Name,Makoto Shinkai,"Two teenagers from different parts of Japan mysteriously begin switching bodies, forming a connection that transcends time and space. As they uncover a cosmic twist linking their destinies, they race against fate to protect each other from an approaching disaster.",15/11/2025,29/11/2025,106,R02,L01
7,Spirited Away,Hayao Miyazaki,"A timid young girl is pulled into a fantastical realm ruled by spirits, witches, and ancient magic. To save her parents and return home, she must find courage, forge unlikely friendships, and uncover her inner strength in a world both enchanting and terrifying.",15/11/2025,29/11/2025,125,R02,L03
8,Demon Slayer: To the Swordsmith Village,Hiroyuki Sawano,"Tanjiro Kamado travels to the hidden Swordsmith Village, where new enemies and powerful Upper Rank demons threaten the peace. Alongside Mitsuri, Muichiro, and his closest friends, Tanjiro faces brutal battles that test their resolve, skill, and unbreakable bonds.",01/12/2025,15/12/2025,117,R04,L03
9,One Piece Film: Red,Goro Taniguchi,"The world-famous singer Uta reveals a shocking truth during her long-awaited concert, unleashing chaos that shakes the entire Grand Line. As Luffy confronts his childhood friend, secrets about her past, her powers, and Shanks himself come to light with world-changing consequences.",01/12/2025,15/12/2025,115,R04,L03
10,The First Slam Dunk,Takehiko Inoue,"Ryota Miyagi, fueled by memories of his older brother, leads the Shohoku basketball team into the high-stakes national tournament. As the team battles overwhelming odds on the court, heartfelt backstories and fierce determination drive them toward an unforgettable showdown.",01/12/2025,15/12/2025,112,R03,L03
